Id,Littera,Rakennusosa,Paikka,Materiaali,Määrä,Yksikkö,KL,€/yks. mat.,€/yks. alih.,€/yks. kulj.,€/yks. konetyö,€yhteensa konetyö,€/yks. miestyö,€/yks,€/yks sis.kate,€yht
891,3124,Huleveden tonttiliittymä,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,hv_tonttiliit,8,kpl,54,50.00,0.00,0.00,120.00,960,160.00,330.00,403.45,3227.6
921,3124,Huleveden tonttiliittymä,Juolukkatie D 6753 007,hv_tonttiliit,1,kpl,54,50.00,0.00,0.00,120.00,120,160.00,330.00,403.45,403.45
949,3124,Huleveden tonttiliittymä,Luumutie D 3267 002,hv_tonttiliit,2,kpl,54,50.00,0.00,0.00,120.00,240,160.00,330.00,403.45,806.9
860,313121,VJ M 90 PE PN 10,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,vj90m,301,mtr,54,0.00,0.00,0.00,1.20,361.2,3.20,4.40,5.236,1576.04
893,313121,VJ M 90 PE PN 10,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,vj90m,230,mtr,54,0.00,0.00,0.00,1.20,276,3.20,4.40,5.236,1204.28
922,313121,VJ M 90 PE PN 10,Juolukkatie D 6753 007,vj90m,97,mtr,54,0.00,0.00,0.00,1.20,116.4,3.20,4.40,5.236,507.89
951,313121,VJ M 90 PE PN 10,Luumutie D 3267 002,vj90m,155,mtr,54,0.00,0.00,0.00,1.20,186,3.20,4.40,5.236,811.58
861,31321,Kumiluistiventtiili DN 80,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,kumuluistinvent80,5,kpl,54,0.00,0.00,0.00,,0,64.00,64.00,69.76,348.8
894,31321,Kumiluistiventtiili DN 80,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,kumuluistinvent80,3,kpl,54,0.00,0.00,0.00,,0,64.00,64.00,69.76,209.28
924,31321,Kumiluistiventtiili DN 80,Juolukkatie D 6753 007,kumuluistinvent80,3,kpl,54,0.00,0.00,0.00,,0,64.00,64.00,69.76,209.28
952,31321,Kumiluistiventtiili DN 80,Luumutie D 3267 002,kumuluistinvent80,2,kpl,54,0.00,0.00,0.00,,0,64.00,64.00,69.76,139.52
862,31324,Palopostit pieni,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,paloposti_pieni,1,kpl,54,0.00,0.00,0.00,,0,64.00,64.00,69.76,69.76
926,31324,Palopostit pieni,Juolukkatie D 6753 007,paloposti_pieni,1,kpl,54,0.00,0.00,0.00,,0,64.00,64.00,69.76,69.76
863,3133,Vesijohdon tonttiliittymä PEM 32 PN 10,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,vj_tonttiliit,18,kpl,54,0.00,0.00,0.00,120.00,2160,160.00,280.00,348.95,6281.1
895,3133,Vesijohdon tonttiliittymä PEM 32 PN 10,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,vj_tonttiliit,13,kpl,54,0.00,0.00,0.00,120.00,1560,160.00,280.00,348.95,4536.35
927,3133,Vesijohdon tonttiliittymä PEM 32 PN 10,Juolukkatie D 6753 007,vj_tonttiliit,6,kpl,54,0.00,0.00,0.00,120.00,720,160.00,280.00,348.95,2093.7
953,3133,Vesijohdon tonttiliittymä PEM 32 PN 10,Luumutie D 3267 002,vj_tonttiliit,8,kpl,54,0.00,0.00,0.00,120.00,960,160.00,280.00,348.95,2791.6
864,3139,Väliaikainen venttiili (ei sis. Materiaaleja) sisältää:työt/kaivuun/täytöt,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,valiaik_ventt,2,kpl,54,0.00,0.00,0.00,461.54,923.08,246.15,707.69,939.6521,1879.3
897,3139,Väliaikainen venttiili (ei sis. Materiaaleja) sisältää:työt/kaivuun/täytöt,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,valiaik_ventt,3,kpl,54,0.00,0.00,0.00,461.54,1384.62,246.15,707.69,939.6521,2818.96
954,3139,Väliaikainen venttiili (ei sis. Materiaaleja) sisältää:työt/kaivuun/täytöt,Luumutie D 3267 002,valiaik_ventt,1,kpl,54,0.00,0.00,0.00,461.54,461.54,246.15,707.69,939.6521,939.65
867,1131,Betonikaivon purku,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,bet_kaivon_purku,1,kpl,65,0.00,50.00,0.00,120.00,120,64.00,234.00,298.81,298.81
869,1159,Reunatuen purkaminen betoninen liimattu,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,reuntatuen_purku,6,mtr,65,0.00,0.00,0.00,1.20,7.2,2.13,3.33,4.0697,24.42
873,1631,Tuentaelementti,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,tuentaelementti,140,m2tr,65,0.00,0.00,0.00,6.00,840,1.60,7.60,10.474,1466.36
907,1631,Tuentaelementti,Juolukkatie D 6753 007,tuentaelementti,132,m2tr,65,0.00,0.00,0.00,6.00,792,1.60,7.60,10.474,1382.57
880,221122,Reunatuki liimattava betoninen harmaa,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,reunatuki_liimatt,6,mtr,65,0.00,25.00,0.00,,0,,25.00,27.25,163.5
881,23211,Nurmikko A3,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,nurm_a3,5,m2tr,57,3.00,0.00,0.00,1.00,5,0.53,4.53,5.2977,26.49
888,3121121,Hv-viemäri (vietto) M 315 SN 8,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,hv315m,1,mtr,54,35.19,0.00,0.00,2.00,2,8.00,45.19,49.9871,49.99
889,3121122,Hv-viemäri (vietto) BE400,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,hv400b,1,mrt,54,50.00,0.00,0.00,1.50,1.5,10.67,62.17,68.3153,68.32
892,3125,Valuliitos,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,valuliitos,1,kpl,54,100.00,0.00,0.00,,0,160.00,260.00,283.4,283.4
896,3139,Vesijohdon sujutus,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,vj_sujutus,45,mtr,54,15.00,0.00,0.00,,0,,15.00,16.35,735.75
898,1111,Pensasaidan siirto,Juolukkatie D 6753 007,pensaiden_siirto,20,mtr,65,0.00,0.00,0.00,,0,6.40,6.40,6.976,139.52
928,1111,Pensasaidan siirto,Luumutie D 3267 002,pensaiden_siirto,70,mtr,65,0.00,0.00,0.00,,0,6.40,6.40,6.976,488.32
902,1133,Valaisinpylvään siirto H=8-12m,Juolukkatie D 6753 007,valaisinpylvaan_siirto,1,kpl,65,1000.00,0.00,0.00,,0,,1000.00,1090,1090
908,1721,Putki-ja johtokanaalit,Juolukkatie D 6753 007,kallio,56,m3ktr,63,0.00,75.00,15.00,12.00,672,,102.00,115.55,6470.8
914,214111,Asfalttipäällyste 5a sis. ajoratamerkinnät,Juolukkatie D 6753 007,ab_kl5a,727,m2tr,61,0.00,10.53,0.00,,0,,10.53,11.4777,8344.29
923,313122,VJ M 160 PE PN 10,Juolukkatie D 6753 007,vj160m,55,mtr,54,0.00,0.00,0.00,1.20,66,3.20,4.40,5.236,287.98
925,31321,Kumiluistiventtiili DN 150,Juolukkatie D 6753 007,kumuluistinvent150,2,kpl,54,0.00,0.00,0.00,,0,64.00,64.00,69.76,139.52
929,1111,Jätepuun ja kasvillisuuden poisto,Luumutie D 3267 002,jatepuun_poisto,100,m2tr,65,0.00,0.00,0.00,,0,3.20,3.20,3.488,348.8
934,1421,XPS-routaeristys 50 mm,Luumutie D 3267 002,xps_eriste,25,m2tr,51,15.00,0.00,0.00,,0,2.13,17.13,18.6717,466.79
950,3125,Kaivon timanttiporaus,Luumutie D 3267 002,kaivon_timanttiporaus,1,kpl,65,0.00,100.00,0.00,,0,,100.00,109,109
955,1833.1,Lopputäyttö kaivumailla,Luumutie D 3267 002,kaivumaa_kaivu,413.5,m3,65,0.00,0.00,3.00,8.57,3543.7,4.00,15.57,20.0913,8307.75
956,1833.1,Lopputäyttö kaivumailla,Juolukkatie D 6753 007,kaivumaa_kaivu,388.5,m3,65,0.00,0.00,3.00,8.57,3329.44,4.00,15.57,20.0913,7805.47
957,1833.1,Lopputäyttö kaivumailla,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,kaivumaa_kaivu,629.5,m3,65,0.00,0.00,3.00,8.57,5394.82,4.00,15.57,20.0913,12647.47
958,1833.1,Lopputäyttö kaivumailla,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,kaivumaa_kaivu,992.5,m3,65,0.00,0.00,3.00,8.57,8505.72,4.00,15.57,20.0913,19940.62
959,1621.1,Putkikaivannon kaivu ja täyttö,Luumutie D 3267 002,kaivumaa_taytto,413.5,m3,53,0.00,0.00,3.00,6.67,2758.04,1.68,11.35,14.8015,6120.42
960,1621.1,Putkikaivannon kaivu ja täyttö,Juolukkatie D 6753 007,kaivumaa_taytto,388.5,m3,53,0.00,0.00,3.00,6.67,2591.3,1.68,11.35,14.8015,5750.38
961,1621.1,Putkikaivannon kaivu ja täyttö,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,kaivumaa_taytto,629.5,m3,53,0.00,0.00,3.00,6.67,4198.77,1.68,11.35,14.8015,9317.54
962,1621.1,Putkikaivannon kaivu ja täyttö,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,kaivumaa_taytto,992.5,m3,53,0.00,0.00,3.00,6.67,6619.98,1.68,11.35,14.8015,14690.49
