Id,Littera,Rakennusosa,Paikka,Materiaali,Määrä,Yksikkö,KL,€/yks. mat.,€/yks. alih.,€/yks. kulj.,€/yks. konetyö,€yhteensa konetyö,€/yks. miestyö,€/yks,€/yks sis.kate,€yht
580,1831.80,kiviainesarina,6.0-6.1 tonttihaara Ylätie,kam0_32,0,m3,53,13.23,0.00,4.00,8.71,0,3.30,29.24,,
581,1831.80,kiviainesarina,6.0-6.1 tonttihaara Ylätie,kam0_32,5,m3,53,13.23,0.00,4.00,8.71,43.55,3.30,29.24,34.0968,170.48
582,1831.80,kiviainesarina,6.2-6.21 Raimelantie,kam0_32,12,m3,53,13.23,0.00,4.00,8.71,104.52,3.30,29.24,34.0968,409.16
583,1831.80,kiviainesarina,6.2-6.21 Raimelantie,kam0_32,23,m3,53,13.23,0.00,4.00,8.71,200.33,3.30,29.24,34.0968,784.23
584,1831.80,kiviainesarina,6.2-6.21 tonttihaara Raimelantie,kam0_32,2,m3,53,13.23,0.00,4.00,8.71,17.42,3.30,29.24,34.0968,68.19
585,1831.80,kiviainesarina,6.2-6.21 tonttihaara Raimelantie,kam0_32,2,m3,53,13.23,0.00,4.00,8.71,17.42,3.30,29.24,34.0968,68.19
707,2131,Sitomaton kantava kerros KaM 0-32,6.0-6.1 katu Ylätie,kam0_32,182,m3,53,13.23,0.00,4.00,8.71,1585.22,3.30,29.24,34.0968,6205.62
708,2131,Sitomaton kantava kerros KaM 0-32,3.0-3.1 katu Nikkarintie,kam0_32,60,m3,53,13.23,0.00,4.00,8.71,522.6,3.30,29.24,34.0968,2045.81
709,2131,Sitomaton kantava kerros KaM 0-32,6.2-6.21 katu Raimelantie,kam0_32,70,m3,53,13.23,0.00,4.00,8.71,609.7,3.30,29.24,34.0968,2386.78
598,1831.20,alkutäyttö,3.0-3.1 Nikkarintie,leikkausmaa,1,m3,53,0.00,0.00,2.00,8.71,8.71,3.30,14.01,17.8007,17.8
599,1831.20,alkutäyttö,3.0-3.1 Nikkarintie,leikkausmaa,341,m3,53,0.00,0.00,2.00,8.71,2970.11,3.30,14.01,17.8007,6070.04
600,1831.20,alkutäyttö,3.0-3.1 Nikkarintie,leikkausmaa,11,m3,53,0.00,0.00,2.00,8.71,95.81,3.30,14.01,17.8007,195.81
601,1831.20,alkutäyttö,3.0-3.1 tonttihaara Nikkarintie,leikkausmaa,63,m3,53,0.00,0.00,2.00,8.71,548.73,3.30,14.01,17.8007,1121.44
602,1831.20,alkutäyttö,3.0-3.1 tonttihaara Nikkarintie,leikkausmaa,8,m3,53,0.00,0.00,2.00,8.71,69.68,3.30,14.01,17.8007,142.41
